FirstName,LastName,Department,Office,JobTitle,OU
Anele,Mahlangu,IT,Durban,Desktop Support Technician,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Shivani,Reddy,IT,Durban,QA Tester,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Bradley,Isaacs,IT,Durban,DevOps Engineer,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Nomvula,Khumalo,IT,Durban,Infrastructure Specialist,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Faizel,Ismail,IT,Durban,IT Project Coordinator,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Chantal,Booysen,IT,Durban,Service Desk Analyst,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Sipho,Cele,IT,Durban,Systems Analyst,"OU=IT,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Andile,Mthembu,Operations,Durban,Operations Manager,"OU=Operations,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Karin,Van Wyk,Operations,Durban,Operations Coordinator,"OU=Operations,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Bongani,Radebe,Operations,Durban,Logistics Officer,"OU=Operations,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Michelle,Chetty,Operations,Durban,Facilities Coordinator,"OU=Operations,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Tebogo,Mokoena,Operations,Durban,Operations Analyst,"OU=Operations,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Devan,Naidu,Finance,Durban,Finance Manager,"OU=Finance,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Amanda,Fortune,Finance,Durban,Accountant,"OU=Finance,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Sanele,Ngcobo,Finance,Durban,Bookkeeper,"OU=Finance,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Priya,Moodley,Finance,Durban,Payroll Administrator,"OU=Finance,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Christopher,Adams,Finance,Durban,Financial Analyst,"OU=Finance,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Nolwazi,Shabalala,HR,Durban,HR Manager,"OU=HR,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Riyaz,Khan,HR,Durban,HR Officer,"OU=HR,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Simone,Petersen,HR,Durban,Recruitment Specialist,"OU=HR,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Mbali,Xaba,HR,Durban,Training Coordinator,"OU=HR,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Ryan,Govender,Sales and Marketing,Durban,Sales Manager,"OU=Sales and Marketing,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Nasheeta,Du Toit,Sales and Marketing,Durban,Marketing Manager,"OU=Sales and Marketing,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Kiara,Chetty,Sales and Marketing,Durban,Sales Executive,"OU=Sales and Marketing,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Wandile,Zungu,Sales and Marketing,Durban,Marketing Coordinator,"OU=Sales and Marketing,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Trevor,Isaacs,Sales and Marketing,Durban,Business Development Officer,"OU=Sales and Marketing,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
Fatima,Bhamjee,Sales and Marketing,Durban,Digital Marketing Specialist,"OU=Sales and Marketing,OU=Users,OU=Durban,DC=itsolutions,DC=co,DC=za"
